2023-08-22 20:00:17.806368 - Street: 1, Velocity: 38.6, Num Cars: 78
2023-08-22 20:00:18.504675 - Street: 2, Velocity: 0.0, Num Cars: 71
2023-08-22 20:00:19.811352 - Street: 1, Velocity: 42.5, Num Cars: 79
2023-08-22 20:00:20.509213 - Street: 2, Velocity: 0.0, Num Cars: 72
2023-08-22 20:00:21.816230 - Street: 1, Velocity: 41.7, Num Cars: 80
2023-08-22 20:00:22.513942 - Street: 2, Velocity: 0.0, Num Cars: 73
2023-08-22 20:00:23.820629 - Street: 1, Velocity: 41.3, Num Cars: 81
2023-08-22 20:00:24.517524 - Street: 2, Velocity: 0.0, Num Cars: 74
2023-08-22 20:00:25.825021 - Street: 1, Velocity: 44.0, Num Cars: 82
2023-08-22 20:00:26.521874 - Street: 2, Velocity: 0.0, Num Cars: 75
2023-08-22 20:00:27.828845 - Street: 1, Velocity: 42.3, Num Cars: 83
2023-08-22 20:00:28.525990 - Street: 2, Velocity: 0.0, Num Cars: 76
2023-08-22 20:00:29.833137 - Street: 1, Velocity: 45.2, Num Cars: 84
2023-08-22 20:00:30.529797 - Street: 2, Velocity: 0.0, Num Cars: 77
2023-08-22 20:00:31.838057 - Street: 1, Velocity: 50.5, Num Cars: 85
2023-08-22 20:00:32.533343 - Street: 2, Velocity: 0.0, Num Cars: 78
2023-08-22 20:00:33.841768 - Street: 1, Velocity: 50.3, Num Cars: 86
2023-08-22 20:00:34.537561 - Street: 2, Velocity: 0.0, Num Cars: 79
2023-08-22 20:00:35.845965 - Street: 1, Velocity: 49.7, Num Cars: 87
2023-08-22 20:00:36.541888 - Street: 2, Velocity: 0.0, Num Cars: 80
2023-08-22 20:00:37.850068 - Street: 1, Velocity: 53.2, Num Cars: 88
2023-08-22 20:00:38.545760 - Street: 2, Velocity: 0.0, Num Cars: 81
2023-08-22 20:00:39.853952 - Street: 1, Velocity: 49.0, Num Cars: 89
2023-08-22 20:00:40.550021 - Street: 2, Velocity: 0.0, Num Cars: 82
2023-08-22 20:00:41.858330 - Street: 1, Velocity: 49.4, Num Cars: 90
2023-08-22 20:00:42.554069 - Street: 2, Velocity: 0.0, Num Cars: 83
2023-08-22 20:00:43.863099 - Street: 1, Velocity: 53.7, Num Cars: 91
2023-08-22 20:00:44.557973 - Street: 2, Velocity: 0.0, Num Cars: 84
2023-08-22 20:00:45.868083 - Street: 1, Velocity: 51.2, Num Cars: 92
2023-08-22 20:00:46.562170 - Street: 2, Velocity: 0.0, Num Cars: 85
2023-08-22 20:00:47.873177 - Street: 1, Velocity: 53.3, Num Cars: 93
2023-08-22 20:00:48.566191 - Street: 2, Velocity: 0.0, Num Cars: 86
2023-08-22 20:00:49.877703 - Street: 1, Velocity: 53.8, Num Cars: 94
2023-08-22 20:00:50.570021 - Street: 2, Velocity: 0.0, Num Cars: 87
2023-08-22 20:00:51.882069 - Street: 1, Velocity: 50.2, Num Cars: 95
2023-08-22 20:00:52.573880 - Street: 2, Velocity: 0.0, Num Cars: 88
2023-08-22 20:00:53.886370 - Street: 1, Velocity: 49.5, Num Cars: 96
2023-08-22 20:00:54.577933 - Street: 2, Velocity: 0.0, Num Cars: 89
2023-08-22 20:00:55.890562 - Street: 1, Velocity: 47.1, Num Cars: 97
2023-08-22 20:00:56.581885 - Street: 2, Velocity: 0.0, Num Cars: 90
2023-08-22 20:00:57.894401 - Street: 1, Velocity: 44.2, Num Cars: 98
2023-08-22 20:00:58.585787 - Street: 2, Velocity: 0.0, Num Cars: 91
2023-08-22 20:00:59.898435 - Street: 1, Velocity: 43.5, Num Cars: 99
2023-08-22 20:01:00.589819 - Street: 2, Velocity: 0.0, Num Cars: 92
2023-08-22 20:01:01.903815 - Street: 1, Velocity: 38.4, Num Cars: 100
2023-08-22 20:01:02.594543 - Street: 2, Velocity: 0.0, Num Cars: 93
2023-08-22 20:01:03.907704 - Street: 1, Velocity: 38.0, Num Cars: 100
2023-08-22 20:01:04.598387 - Street: 2, Velocity: 0.0, Num Cars: 94
2023-08-22 20:01:05.911923 - Street: 1, Velocity: 36.8, Num Cars: 100
2023-08-22 20:01:06.602368 - Street: 2, Velocity: 0.0, Num Cars: 95
2023-08-22 20:01:07.915908 - Street: 1, Velocity: 33.7, Num Cars: 100
2023-08-22 20:01:08.606588 - Street: 2, Velocity: 0.0, Num Cars: 96
2023-08-22 20:01:09.920809 - Street: 1, Velocity: 31.3, Num Cars: 100
2023-08-22 20:01:10.610817 - Street: 2, Velocity: 0.0, Num Cars: 97
2023-08-22 20:01:11.925998 - Street: 1, Velocity: 33.7, Num Cars: 100
2023-08-22 20:01:12.615252 - Street: 2, Velocity: 0.0, Num Cars: 98
2023-08-22 20:01:13.931244 - Street: 1, Velocity: 33.0, Num Cars: 100
2023-08-22 20:01:14.619179 - Street: 2, Velocity: 0.0, Num Cars: 99
2023-08-22 20:01:15.935784 - Street: 1, Velocity: 36.1, Num Cars: 100
2023-08-22 20:01:16.623568 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:17.940811 - Street: 1, Velocity: 36.4, Num Cars: 100
2023-08-22 20:01:18.627473 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:19.945236 - Street: 1, Velocity: 41.8, Num Cars: 100
2023-08-22 20:01:20.631673 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:21.949549 - Street: 1, Velocity: 44.0, Num Cars: 100
2023-08-22 20:01:22.635650 - Street: 2, Velocity: 0.0, Num Cars: 100
2023-08-22 20:01:23.953889 - Street: 1, Velocity: 43.3, Num Cars: 100
